search_term,stockcode,name,brand,price,cup_price,package_size,image_url,url
Apple Cider Vinegar,924549,The Australian Vinegar Co. Organic Apple Cider Vinegar,The Australian Vinegar Co.,3.5,$1.40 / 100ML,250mL,https://cdn0.woolworths.media/content/wowproductimages/small/924549.jpg,https://www.woolworths.com.au/shop/productdetails/924549
Apple Cider Vinegar,700632,Macro Organic Apple Cider Vinegar,Macro,3.5,$0.70 / 100ML,500mL,https://cdn0.woolworths.media/content/wowproductimages/small/700632.jpg,https://www.woolworths.com.au/shop/productdetails/700632
Apple Cider Vinegar,78652,Cornwell's Apple Cider Vinegar Cider,Cornwell's,4.8,$0.64 / 100ML,750mL,https://cdn0.woolworths.media/content/wowproductimages/small/078652.jpg,https://www.woolworths.com.au/shop/productdetails/78652
Apple Cider Vinegar,496355,Cornwell's Apple Cider Vinegar,Cornwell's,3.3,$0.88 / 100ML,375mL,https://cdn0.woolworths.media/content/wowproductimages/small/496355.jpg,https://www.woolworths.com.au/shop/productdetails/496355
Apple Cider Vinegar,32523,Cornwell's Apple Cider Vinegar Cider,Cornwell's,7.5,$0.38 / 100ML,2L,https://cdn0.woolworths.media/content/wowproductimages/small/032523.jpg,https://www.woolworths.com.au/shop/productdetails/32523
Apple Cider Vinegar,895992,Mazzetti Apple Cider Vinegar With Mother,Mazzetti,4.2,$0.84 / 100ML,500mL,https://cdn0.woolworths.media/content/wowproductimages/small/895992.jpg,https://www.woolworths.com.au/shop/productdetails/895992
Asparagus,132538,Woolworths Asparagus Green Bunch,Woolworths,3.5,$3.50 / 1EA,each,https://cdn0.woolworths.media/content/wowproductimages/small/132538.jpg,https://www.woolworths.com.au/shop/productdetails/132538
Asparagus,305235,Woolworths Green Asparagus Bunch Green,Woolworths,,,each,https://cdn0.woolworths.media/content/wowproductimages/small/305235.jpg,https://www.woolworths.com.au/shop/productdetails/305235
Aubergine,137546,Fresh Eggplant,,2.85,$2.85 / 1EA,each,https://cdn0.woolworths.media/content/wowproductimages/small/137546.jpg,https://www.woolworths.com.au/shop/productdetails/137546
Baby Plum Tomatoes,6055511,Tinyberry Tomatoes,,3,$24.00 / 1KG,125g,https://cdn0.woolworths.media/content/wowproductimages/small/6055511.jpg,https://www.woolworths.com.au/shop/productdetails/6055511
Baby Plum Tomatoes,825891,The Odd Bunch Tomato Prepacked,The Odd Bunch,3.7,$3.70 / 1KG,1kg,https://cdn0.woolworths.media/content/wowproductimages/small/825891.jpg,https://www.woolworths.com.au/shop/productdetails/825891
